product_id,company_id,company_job,category,price
1,4,Really Pro,Equipment,44498.5
2,5,Property Pro,Fitness,96816.49
3,9,Skill Pro,Equipment,90306.4
4,7,Phone Pro,Computers,35329.34
5,3,Federal Pro,Condiments,17515.62
6,2,Quality Pro,Fitness,30153.73
7,5,Develop Pro,Fitness,89083.26
8,6,Wish Pro,Gadgets,41676.05
9,10,Third Pro,Grains,61253.41
10,1,Edge Pro,Equipment,79075.34
11,2,Reveal Pro,Condiments,51342.41
12,3,Effect Pro,Grains,11326.87
13,6,Cell Pro,Books,70846.65
14,3,His Pro,Equipment,71977.15
15,9,Approach Pro,Equipment,58014.31
16,10,Performance Pro,Computers,74421.79
17,6,Hour Pro,Equipment,15862.74
18,8,Job Pro,Grains,13191.42
19,9,Form Pro,Books,30895.37
20,4,Friend Pro,Equipment,66698.58
21,5,Kind Pro,Gadgets,97803.91
22,8,Dark Pro,Computers,81525.01
23,8,Possible Pro,Fitness,64091.76
24,8,Dinner Pro,Gadgets,5626.11
25,1,Campaign Pro,Condiments,2336.73
26,5,Economy Pro,Grains,94075.34
27,6,Number Pro,Gadgets,99633.27
28,5,Factor Pro,Equipment,22825.63
29,4,Choice Pro,Books,40622.27
30,1,Answer Pro,Fitness,8081.41
31,2,South Pro,Condiments,82476.69
32,6,Everyone Pro,Fitness,95832.08
33,9,Quite Pro,Computers,90419.19
34,8,Side Pro,Computers,58354.99
35,3,Throughout Pro,Fitness,75809.24
36,9,Half Pro,Condiments,33740.19
37,6,Drive Pro,Fitness,57938.96
38,10,Than Pro,Books,57476.47
39,9,Idea Pro,Gadgets,91756.99
40,1,Hot Pro,Fitness,27128.99
41,3,Hospital Pro,Fitness,60267.83
42,4,Security Pro,Computers,43245.62
43,5,Suggest Pro,Grains,8325.53
44,4,Believe Pro,Computers,88595.92
45,10,Visit Pro,Gadgets,92765.12
46,9,Own Pro,Condiments,17553.29
47,1,Early Pro,Computers,21589.09
48,8,Suddenly Pro,Computers,80303.18
49,6,Pull Pro,Equipment,60439
50,6,Town Pro,Grains,11187.51
